"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Jun 28 09:28:48 GMT 2022","Tue Jun 28 09:28:48 GMT 2022","0","","API тесты на сервис NASA","","API тесты на сервис NASA","Проверяем конечную точку изображения","Проверяем конечную точку изображения",""
"passed","Tue Jun 28 09:28:45 GMT 2022","Tue Jun 28 09:28:48 GMT 2022","2526","","UI тесты для NasaApi","","UI тесты для NasaApi","Переход к разделу по саджесту","Переход к разделу по саджесту",""
"passed","Tue Jun 28 09:28:48 GMT 2022","Tue Jun 28 09:28:48 GMT 2022","401","","API тесты на сервис NASA","","API тесты на сервис NASA","Получаем доступ к сайту библиотеки изображений","Получаем доступ к сайту библиотеки изображений",""
"passed","Tue Jun 28 09:28:33 GMT 2022","Tue Jun 28 09:28:37 GMT 2022","4463","","UI тесты для NasaApi","","UI тесты для NasaApi","Проверяем активизацию таба в шапке","Проверяем активизацию таба в шапке",""
"passed","Tue Jun 28 09:28:48 GMT 2022","Tue Jun 28 09:28:48 GMT 2022","100","","API тесты на сервис NASA","","API тесты на сервис NASA","Получаем астрономическую картинку дня без api_key","Получаем астрономическую картинку дня без api_key",""
"passed","Tue Jun 28 09:28:42 GMT 2022","Tue Jun 28 09:28:45 GMT 2022","2694","","UI тесты для NasaApi","","UI тесты для NasaApi","Проверка разворачивания списка","Проверка разворачивания списка",""
"failed","Tue Jun 28 09:28:48 GMT 2022","Tue Jun 28 09:28:48 GMT 2022","1","","API тесты на сервис NASA","","API тесты на сервис NASA","Проверяем доступность данных технологического проекта","Проверяем доступность данных технологического проекта",""
"passed","Tue Jun 28 09:28:37 GMT 2022","Tue Jun 28 09:28:40 GMT 2022","2364","","UI тесты для NasaApi","","UI тесты для NasaApi","Проверка обязательных полей","Проверка обязательных полей",""
"failed","Tue Jun 28 09:28:48 GMT 2022","Tue Jun 28 09:28:48 GMT 2022","2","","API тесты на сервис NASA","","API тесты на сервис NASA","Получаем астрономическую картинку дня","Получаем астрономическую картинку дня",""
"passed","Tue Jun 28 09:28:40 GMT 2022","Tue Jun 28 09:28:42 GMT 2022","2824","","UI тесты для NasaApi","","UI тесты для NasaApi","Проверка сгенерированого ключа","Проверка сгенерированого ключа",""
