"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 28 10:28:12 GMT 2022","Tue Jun 28 10:28:15 GMT 2022","2836","","UI тесты для NasaApi","","UI тесты для NasaApi","Проверка разворачивания списка","Проверка разворачивания списка",""
"passed","Tue Jun 28 10:27:59 GMT 2022","Tue Jun 28 10:28:06 GMT 2022","7104","","UI тесты для NasaApi","","UI тесты для NasaApi","Проверяем активизацию таба в шапке","Проверяем активизацию таба в шапке",""
"passed","Tue Jun 28 10:27:57 GMT 2022","Tue Jun 28 10:27:58 GMT 2022","786","","API тесты на сервис NASA","","API тесты на сервис NASA","Проверяем конечную точку изображения","Проверяем конечную точку изображения",""
"passed","Tue Jun 28 10:28:15 GMT 2022","Tue Jun 28 10:28:17 GMT 2022","2436","","UI тесты для NasaApi","","UI тесты для NasaApi","Переход к разделу по саджесту","Переход к разделу по саджесту",""
"passed","Tue Jun 28 10:27:56 GMT 2022","Tue Jun 28 10:27:56 GMT 2022","72","","API тесты на сервис NASA","","API тесты на сервис NASA","Получаем астрономическую картинку дня без api_key","Получаем астрономическую картинку дня без api_key",""
"passed","Tue Jun 28 10:28:06 GMT 2022","Tue Jun 28 10:28:09 GMT 2022","2549","","UI тесты для NasaApi","","UI тесты для NasaApi","Проверка обязательных полей","Проверка обязательных полей",""
"passed","Tue Jun 28 10:27:56 GMT 2022","Tue Jun 28 10:27:57 GMT 2022","476","","API тесты на сервис NASA","","API тесты на сервис NASA","Проверяем доступность данных технологического проекта","Проверяем доступность данных технологического проекта",""
"passed","Tue Jun 28 10:27:56 GMT 2022","Tue Jun 28 10:27:56 GMT 2022","292","","API тесты на сервис NASA","","API тесты на сервис NASA","Получаем доступ к сайту библиотеки изображений","Получаем доступ к сайту библиотеки изображений",""
"passed","Tue Jun 28 10:28:09 GMT 2022","Tue Jun 28 10:28:12 GMT 2022","2942","","UI тесты для NasaApi","","UI тесты для NasaApi","Проверка сгенерированого ключа","Проверка сгенерированого ключа",""
"passed","Tue Jun 28 10:27:56 GMT 2022","Tue Jun 28 10:27:56 GMT 2022","365","","API тесты на сервис NASA","","API тесты на сервис NASA","Получаем астрономическую картинку дня","Получаем астрономическую картинку дня",""
