"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 28 10:22:30 GMT 2022","Tue Jun 28 10:22:30 GMT 2022","461","","API тесты на сервис NASA","","API тесты на сервис NASA","Получаем доступ к сайту библиотеки изображений","Получаем доступ к сайту библиотеки изображений",""
"passed","Tue Jun 28 10:22:21 GMT 2022","Tue Jun 28 10:22:25 GMT 2022","3746","","UI тесты для NasaApi","","UI тесты для NasaApi","Проверка разворачивания списка","Проверка разворачивания списка",""
"failed","Tue Jun 28 10:22:29 GMT 2022","Tue Jun 28 10:22:29 GMT 2022","2","","API тесты на сервис NASA","","API тесты на сервис NASA","Получаем астрономическую картинку дня","Получаем астрономическую картинку дня",""
"passed","Tue Jun 28 10:22:25 GMT 2022","Tue Jun 28 10:22:29 GMT 2022","3720","","UI тесты для NasaApi","","UI тесты для NasaApi","Переход к разделу по саджесту","Переход к разделу по саджесту",""
"failed","Tue Jun 28 10:22:30 GMT 2022","Tue Jun 28 10:22:30 GMT 2022","1","","API тесты на сервис NASA","","API тесты на сервис NASA","Проверяем доступность данных технологического проекта","Проверяем доступность данных технологического проекта",""
"failed","Tue Jun 28 10:22:30 GMT 2022","Tue Jun 28 10:22:30 GMT 2022","1","","API тесты на сервис NASA","","API тесты на сервис NASA","Проверяем конечную точку изображения","Проверяем конечную точку изображения",""
"passed","Tue Jun 28 10:22:17 GMT 2022","Tue Jun 28 10:22:21 GMT 2022","4008","","UI тесты для NasaApi","","UI тесты для NasaApi","Проверка сгенерированого ключа","Проверка сгенерированого ключа",""
"passed","Tue Jun 28 10:22:14 GMT 2022","Tue Jun 28 10:22:17 GMT 2022","3604","","UI тесты для NasaApi","","UI тесты для NasaApi","Проверка обязательных полей","Проверка обязательных полей",""
"passed","Tue Jun 28 10:22:09 GMT 2022","Tue Jun 28 10:22:14 GMT 2022","4420","","UI тесты для NasaApi","","UI тесты для NasaApi","Проверяем активизацию таба в шапке","Проверяем активизацию таба в шапке",""
"passed","Tue Jun 28 10:22:29 GMT 2022","Tue Jun 28 10:22:30 GMT 2022","397","","API тесты на сервис NASA","","API тесты на сервис NASA","Получаем астрономическую картинку дня без api_key","Получаем астрономическую картинку дня без api_key",""
