"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 23 16:43:58 GMT 2022","Thu Jun 23 16:43:58 GMT 2022","525","","API тесты на сервис NASA","","API тесты на сервис NASA","Проверяем доступность данных технологического проекта","Проверяем доступность данных технологического проекта",""
"passed","Thu Jun 23 16:43:57 GMT 2022","Thu Jun 23 16:43:57 GMT 2022","191","","API тесты на сервис NASA","","API тесты на сервис NASA","Получаем астрономическую картинку дня без api_key","Получаем астрономическую картинку дня без api_key",""
"passed","Thu Jun 23 16:43:59 GMT 2022","Thu Jun 23 16:44:04 GMT 2022","4550","","UI тесты для NasaApi","","UI тесты для NasaApi","Получаем активный таб","Получаем активный таб",""
"passed","Thu Jun 23 16:43:57 GMT 2022","Thu Jun 23 16:43:58 GMT 2022","311","","API тесты на сервис NASA","","API тесты на сервис NASA","Получаем доступ к сайту библиотеки изображений","Получаем доступ к сайту библиотеки изображений",""
"passed","Thu Jun 23 16:43:57 GMT 2022","Thu Jun 23 16:43:57 GMT 2022","385","","API тесты на сервис NASA","","API тесты на сервис NASA","Получаем астрономическую картинку дня","Получаем астрономическую картинку дня",""
"passed","Thu Jun 23 16:43:58 GMT 2022","Thu Jun 23 16:43:59 GMT 2022","615","","API тесты на сервис NASA","","API тесты на сервис NASA","Проверяем конечную точку изображения","Проверяем конечную точку изображения",""
