"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 28 18:44:51 GMT 2022","Tue Jun 28 18:44:54 GMT 2022","2799","","UI тесты для NasaApi","","UI тесты для NasaApi","Проверяем активизацию таба в шапке","Проверяем активизацию таба в шапке",""
"passed","Tue Jun 28 18:44:48 GMT 2022","Tue Jun 28 18:44:48 GMT 2022","195","","API тесты на сервис NASA","","API тесты на сервис NASA","Получаем астрономическую картинку дня без api_key","Получаем астрономическую картинку дня без api_key",""
"passed","Tue Jun 28 18:44:49 GMT 2022","Tue Jun 28 18:44:50 GMT 2022","698","","API тесты на сервис NASA","","API тесты на сервис NASA","Проверяем конечную точку изображения","Проверяем конечную точку изображения",""
"passed","Tue Jun 28 18:44:48 GMT 2022","Tue Jun 28 18:44:49 GMT 2022","584","","API тесты на сервис NASA","","API тесты на сервис NASA","Проверяем доступность данных технологического проекта","Проверяем доступность данных технологического проекта",""
"passed","Tue Jun 28 18:44:48 GMT 2022","Tue Jun 28 18:44:48 GMT 2022","344","","API тесты на сервис NASA","","API тесты на сервис NASA","Получаем доступ к сайту библиотеки изображений","Получаем доступ к сайту библиотеки изображений",""
"passed","Tue Jun 28 18:44:57 GMT 2022","Tue Jun 28 18:45:01 GMT 2022","3472","","UI тесты для NasaApi","","UI тесты для NasaApi","Проверка сгенерированого ключа","Проверка сгенерированого ключа",""
"passed","Tue Jun 28 18:44:54 GMT 2022","Tue Jun 28 18:44:57 GMT 2022","3136","","UI тесты для NasaApi","","UI тесты для NasaApi","Проверка обязательных полей","Проверка обязательных полей",""
"passed","Tue Jun 28 18:45:01 GMT 2022","Tue Jun 28 18:45:04 GMT 2022","3249","","UI тесты для NasaApi","","UI тесты для NasaApi","Проверка разворачивания списка","Проверка разворачивания списка",""
"passed","Tue Jun 28 18:45:04 GMT 2022","Tue Jun 28 18:45:07 GMT 2022","2936","","UI тесты для NasaApi","","UI тесты для NasaApi","Переход к разделу по саджесту","Переход к разделу по саджесту",""
"passed","Tue Jun 28 18:44:47 GMT 2022","Tue Jun 28 18:44:48 GMT 2022","288","","API тесты на сервис NASA","","API тесты на сервис NASA","Получаем астрономическую картинку дня","Получаем астрономическую картинку дня",""
