"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 27 14:59:51 GMT 2022","Mon Jun 27 14:59:54 GMT 2022","3272","","UI тесты для NasaApi","","UI тесты для NasaApi","Проверка сгенерированого ключа","Проверка сгенерированого ключа",""
"passed","Mon Jun 27 14:59:45 GMT 2022","Mon Jun 27 14:59:48 GMT 2022","2971","","UI тесты для NasaApi","","UI тесты для NasaApi","Проверяем активизацию таба в шапке","Проверяем активизацию таба в шапке",""
"passed","Mon Jun 27 14:59:41 GMT 2022","Mon Jun 27 14:59:41 GMT 2022","230","","API тесты на сервис NASA","","API тесты на сервис NASA","Получаем астрономическую картинку дня без api_key","Получаем астрономическую картинку дня без api_key",""
"passed","Mon Jun 27 14:59:41 GMT 2022","Mon Jun 27 14:59:41 GMT 2022","361","","API тесты на сервис NASA","","API тесты на сервис NASA","Получаем доступ к сайту библиотеки изображений","Получаем доступ к сайту библиотеки изображений",""
"passed","Mon Jun 27 14:59:41 GMT 2022","Mon Jun 27 14:59:42 GMT 2022","531","","API тесты на сервис NASA","","API тесты на сервис NASA","Проверяем доступность данных технологического проекта","Проверяем доступность данных технологического проекта",""
"passed","Mon Jun 27 14:59:57 GMT 2022","Mon Jun 27 15:00:00 GMT 2022","2893","","UI тесты для NasaApi","","UI тесты для NasaApi","Переход к разделу по саджесту","Переход к разделу по саджесту",""
"passed","Mon Jun 27 14:59:54 GMT 2022","Mon Jun 27 14:59:57 GMT 2022","3002","","UI тесты для NasaApi","","UI тесты для NasaApi","Проверка разворачивания списка","Проверка разворачивания списка",""
"passed","Mon Jun 27 14:59:42 GMT 2022","Mon Jun 27 14:59:43 GMT 2022","870","","API тесты на сервис NASA","","API тесты на сервис NASA","Проверяем конечную точку изображения","Проверяем конечную точку изображения",""
"passed","Mon Jun 27 14:59:40 GMT 2022","Mon Jun 27 14:59:41 GMT 2022","291","","API тесты на сервис NASA","","API тесты на сервис NASA","Получаем астрономическую картинку дня","Получаем астрономическую картинку дня",""
"passed","Mon Jun 27 14:59:48 GMT 2022","Mon Jun 27 14:59:51 GMT 2022","2918","","UI тесты для NasaApi","","UI тесты для NasaApi","Проверка обязательных полей","Проверка обязательных полей",""
