"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 28 09:14:13 GMT 2022","Tue Jun 28 09:14:13 GMT 2022","283","","API тесты на сервис NASA","","API тесты на сервис NASA","Получаем астрономическую картинку дня без api_key","Получаем астрономическую картинку дня без api_key",""
"failed","Tue Jun 28 09:14:14 GMT 2022","Tue Jun 28 09:14:14 GMT 2022","1","","API тесты на сервис NASA","","API тесты на сервис NASA","Проверяем доступность данных технологического проекта","Проверяем доступность данных технологического проекта",""
"passed","Tue Jun 28 09:14:13 GMT 2022","Tue Jun 28 09:14:14 GMT 2022","398","","API тесты на сервис NASA","","API тесты на сервис NASA","Получаем доступ к сайту библиотеки изображений","Получаем доступ к сайту библиотеки изображений",""
"passed","Tue Jun 28 09:14:01 GMT 2022","Tue Jun 28 09:14:04 GMT 2022","2955","","UI тесты для NasaApi","","UI тесты для NasaApi","Проверка обязательных полей","Проверка обязательных полей",""
"passed","Tue Jun 28 09:14:10 GMT 2022","Tue Jun 28 09:14:13 GMT 2022","2996","","UI тесты для NasaApi","","UI тесты для NasaApi","Переход к разделу по саджесту","Переход к разделу по саджесту",""
"failed","Tue Jun 28 09:14:13 GMT 2022","Tue Jun 28 09:14:13 GMT 2022","2","","API тесты на сервис NASA","","API тесты на сервис NASA","Получаем астрономическую картинку дня","Получаем астрономическую картинку дня",""
"failed","Tue Jun 28 09:14:14 GMT 2022","Tue Jun 28 09:14:14 GMT 2022","1","","API тесты на сервис NASA","","API тесты на сервис NASA","Проверяем конечную точку изображения","Проверяем конечную точку изображения",""
"passed","Tue Jun 28 09:14:07 GMT 2022","Tue Jun 28 09:14:10 GMT 2022","2973","","UI тесты для NasaApi","","UI тесты для NasaApi","Проверка разворачивания списка","Проверка разворачивания списка",""
"passed","Tue Jun 28 09:13:56 GMT 2022","Tue Jun 28 09:14:01 GMT 2022","4738","","UI тесты для NasaApi","","UI тесты для NasaApi","Проверяем активизацию таба в шапке","Проверяем активизацию таба в шапке",""
"passed","Tue Jun 28 09:14:04 GMT 2022","Tue Jun 28 09:14:07 GMT 2022","3188","","UI тесты для NasaApi","","UI тесты для NasaApi","Проверка сгенерированого ключа","Проверка сгенерированого ключа",""
