"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 23 16:51:47 GMT 2022","Thu Jun 23 16:51:47 GMT 2022","58","","API тесты на сервис NASA","","API тесты на сервис NASA","Получаем астрономическую картинку дня без api_key","Получаем астрономическую картинку дня без api_key",""
"passed","Thu Jun 23 16:51:49 GMT 2022","Thu Jun 23 16:51:52 GMT 2022","2770","","UI тесты для NasaApi","","UI тесты для NasaApi","Проверяем активизацию таба в шапке","Проверяем активизацию таба в шапке",""
"passed","Thu Jun 23 16:51:48 GMT 2022","Thu Jun 23 16:51:48 GMT 2022","521","","API тесты на сервис NASA","","API тесты на сервис NASA","Проверяем конечную точку изображения","Проверяем конечную точку изображения",""
"passed","Thu Jun 23 16:51:47 GMT 2022","Thu Jun 23 16:51:48 GMT 2022","409","","API тесты на сервис NASA","","API тесты на сервис NASA","Проверяем доступность данных технологического проекта","Проверяем доступность данных технологического проекта",""
"passed","Thu Jun 23 16:51:46 GMT 2022","Thu Jun 23 16:51:47 GMT 2022","302","","API тесты на сервис NASA","","API тесты на сервис NASA","Получаем астрономическую картинку дня","Получаем астрономическую картинку дня",""
"passed","Thu Jun 23 16:51:47 GMT 2022","Thu Jun 23 16:51:47 GMT 2022","411","","API тесты на сервис NASA","","API тесты на сервис NASA","Получаем доступ к сайту библиотеки изображений","Получаем доступ к сайту библиотеки изображений",""
